sample_id,label,capture_index,split_external,feature_path,points,channels,capture_index_is_verified_participant
static3d_n_07,N,7,train,N\n7.txt,3197,3,False
static3d_n_08,N,8,train,N\n8.txt,1635,3,False
static3d_n_09,N,9,train,N\n9.txt,3224,3,False
static3d_n_10,N,10,train,N\n10.txt,3255,3,False
static3d_n_11,N,11,train,N\n11.txt,2604,3,False
static3d_n_12,N,12,validation,N\n12.txt,1635,3,False
static3d_n_13,N,13,validation,N\n13.txt,2728,3,False
static3d_n_14,N,14,test,N\n14.txt,2399,3,False
static3d_n_15,N,15,test,N\n15.txt,3197,3,False
static3d_o_01,O,1,train,O\o1.txt,2222,3,False
static3d_o_02,O,2,train,O\o2.txt,2778,3,False
static3d_o_03,O,3,train,O\o3.txt,3124,3,False
static3d_o_04,O,4,train,O\o4.txt,1924,3,False
static3d_o_05,O,5,train,O\o5.txt,2499,3,False
static3d_o_06,O,6,train,O\o6.txt,3745,3,False
static3d_o_07,O,7,train,O\o7.txt,2996,3,False
static3d_o_08,O,8,train,O\o8.txt,2405,3,False
static3d_o_09,O,9,train,O\o9.txt,2187,3,False
static3d_o_10,O,10,train,O\o10.txt,2481,3,False
static3d_o_11,O,11,train,O\o11.txt,2308,3,False
static3d_o_12,O,12,validation,O\o12.txt,2335,3,False
static3d_o_13,O,13,validation,O\o13.txt,3084,3,False
static3d_o_14,O,14,test,O\o14.txt,3185,3,False
static3d_o_15,O,15,test,O\o15.txt,3981,3,False
static3d_p_01,P,1,train,P\p1.txt,1324,3,False
static3d_p_02,P,2,train,P\p2.txt,2162,3,False
static3d_p_03,P,3,train,P\p3.txt,2930,3,False
static3d_p_04,P,4,train,P\p4.txt,1521,3,False
static3d_p_05,P,5,train,P\p5.txt,3368,3,False
static3d_p_06,P,6,train,P\p6.txt,4013,3,False
static3d_p_07,P,7,train,P\p7.txt,3060,3,False
static3d_p_08,P,8,train,P\p8.txt,1834,3,False
static3d_p_09,P,9,train,P\p9.txt,3142,3,False
static3d_p_10,P,10,train,P\p10.txt,2823,3,False
static3d_p_11,P,11,train,P\p11.txt,2657,3,False
static3d_p_12,P,12,validation,P\p12.txt,2961,3,False
static3d_p_13,P,13,validation,P\p13.txt,3387,3,False
static3d_p_14,P,14,test,P\p14.txt,3241,3,False
static3d_p_15,P,15,test,P\p15.txt,3747,3,False
static3d_r_01,R,1,train,R\r1.txt,1752,3,False
static3d_r_02,R,2,train,R\r2.txt,2723,3,False
static3d_r_03,R,3,train,R\r3.txt,2553,3,False
static3d_r_04,R,4,train,R\r4.txt,2190,3,False
static3d_r_05,R,5,train,R\r5.txt,3404,3,False
static3d_r_06,R,6,train,R\r6.txt,2609,3,False
static3d_r_07,R,7,train,R\r7.txt,1807,3,False
static3d_r_08,R,8,train,R\r8.txt,2259,3,False
static3d_r_09,R,9,train,R\r9.txt,3479,3,False
static3d_r_10,R,10,train,R\r10.txt,3154,3,False
static3d_r_11,R,11,train,R\r11.txt,1992,3,False
static3d_r_12,R,12,validation,R\r12.txt,3175,3,False
static3d_r_13,R,13,validation,R\r13.txt,3103,3,False
static3d_r_14,R,14,test,R\r14.txt,3794,3,False
static3d_r_15,R,15,test,R\r15.txt,3009,3,False
static3d_s_01,S,1,train,S\s1.txt,2242,3,False
static3d_s_02,S,2,train,S\s2.txt,2623,3,False
static3d_s_03,S,3,train,S\s3.txt,2788,3,False
static3d_s_04,S,4,train,S\s4.txt,2039,3,False
static3d_s_05,S,5,train,S\s5.txt,2230,3,False
static3d_s_06,S,6,train,S\s6.txt,3979,3,False
static3d_s_07,S,7,train,S\s7.txt,2954,3,False
static3d_s_08,S,8,train,S\s8.txt,2383,3,False
static3d_s_09,S,9,train,S\s9.txt,2390,3,False
static3d_s_10,S,10,train,S\s10.txt,2860,3,False
static3d_s_11,S,11,train,S\s11.txt,2347,3,False
static3d_s_12,S,12,validation,S\s12.txt,2756,3,False
static3d_s_13,S,13,validation,S\s13.txt,3732,3,False
static3d_s_14,S,14,test,S\s14.txt,2205,3,False
static3d_s_15,S,15,test,S\s15.txt,3888,3,False
static3d_t_01,T,1,train,T\t1.txt,1597,3,False
static3d_t_02,T,2,train,T\t2.txt,2748,3,False
static3d_t_03,T,3,train,T\t3.txt,2683,3,False
static3d_t_04,T,4,train,T\t4.txt,2344,3,False
static3d_t_05,T,5,train,T\t5.txt,2302,3,False
static3d_t_06,T,6,train,T\t6.txt,4277,3,False
static3d_t_07,T,7,train,T\t7.txt,3295,3,False
static3d_t_08,T,8,train,T\t8.txt,2815,3,False
static3d_t_09,T,9,train,T\t9.txt,2678,3,False
static3d_t_10,T,10,train,T\t10.txt,2477,3,False
static3d_t_11,T,11,train,T\t11.txt,2050,3,False
static3d_t_12,T,12,validation,T\t12.txt,2478,3,False
static3d_t_13,T,13,validation,T\t13.txt,3559,3,False
static3d_t_14,T,14,test,T\t14.txt,2948,3,False
static3d_t_15,T,15,test,T\t15.txt,3685,3,False
static3d_u_01,U,1,train,U\u1.txt,1851,3,False
static3d_u_02,U,2,train,U\u2.txt,1849,3,False
static3d_u_03,U,3,train,U\u3.txt,2734,3,False
static3d_u_04,U,4,train,U\u4.txt,2089,3,False
static3d_u_05,U,5,train,U\u5.txt,5662,3,False
static3d_u_06,U,6,train,U\u6.txt,7078,3,False
static3d_u_07,U,7,train,U\u7.txt,3417,3,False
static3d_u_08,U,8,train,U\u8.txt,2613,3,False
static3d_u_09,U,9,train,U\u9.txt,2090,3,False
static3d_u_10,U,10,train,U\u10.txt,3399,3,False
static3d_u_11,U,11,train,U\u11.txt,3163,3,False
static3d_u_12,U,12,validation,U\u12.txt,2530,3,False
static3d_u_13,U,13,validation,U\u13.txt,3631,3,False
static3d_u_14,U,14,test,U\u14.txt,2972,3,False
static3d_u_15,U,15,test,U\u15.txt,3715,3,False
static3d_v_01,V,1,train,V\v1.txt,2516,3,False
static3d_v_02,V,2,train,V\v2.txt,3145,3,False
static3d_v_03,V,3,train,V\v3.txt,3342,3,False
static3d_v_04,V,4,train,V\v4.txt,2674,3,False
static3d_v_05,V,5,train,V\v5.txt,4630,3,False
static3d_v_06,V,6,train,V\v6.txt,3896,3,False
static3d_v_07,V,7,train,V\v7.txt,3117,3,False
static3d_v_08,V,8,train,V\v8.txt,2394,3,False
static3d_v_09,V,9,train,V\v9.txt,2339,3,False
static3d_v_10,V,10,train,V\v10.txt,3302,3,False
static3d_v_11,V,11,train,V\v11.txt,2992,3,False
static3d_v_12,V,12,validation,V\v12.txt,3390,3,False
static3d_v_13,V,13,validation,V\v13.txt,3470,3,False
static3d_v_14,V,14,test,V\v14.txt,4276,3,False
static3d_v_15,V,15,test,V\v15.txt,3704,3,False
static3d_w_01,W,1,train,W\w1.txt,1899,3,False
static3d_w_02,W,2,train,W\w2.txt,3706,3,False
static3d_w_03,W,3,train,W\w3.txt,3862,3,False
static3d_w_04,W,4,train,W\w4.txt,3159,3,False
static3d_w_05,W,5,train,W\w5.txt,4951,3,False
static3d_w_06,W,6,train,W\w6.txt,6589,3,False
static3d_w_07,W,7,train,W\w7.txt,4100,3,False
static3d_w_08,W,8,train,W\w8.txt,5620,3,False
static3d_w_09,W,9,train,W\w9.txt,3308,3,False
static3d_w_10,W,10,train,W\w10.txt,3671,3,False
static3d_w_11,W,11,train,W\w11.txt,3432,3,False
static3d_w_12,W,12,validation,W\w12.txt,3768,3,False
static3d_w_13,W,13,validation,W\w13.txt,3865,3,False
static3d_w_14,W,14,test,W\w14.txt,4490,3,False
static3d_w_15,W,15,test,W\w15.txt,4434,3,False
static3d_y_01,Y,1,train,Y\y1.txt,2385,3,False
static3d_y_02,Y,2,train,Y\y2.txt,2981,3,False
static3d_y_03,Y,3,train,Y\y3.txt,3363,3,False
static3d_y_04,Y,4,train,Y\y4.txt,2609,3,False
static3d_y_05,Y,5,train,Y\y5.txt,3365,3,False
static3d_y_06,Y,6,train,Y\y6.txt,5374,3,False
static3d_y_07,Y,7,train,Y\y7.txt,3331,3,False
static3d_y_08,Y,8,train,Y\y8.txt,1874,3,False
static3d_y_09,Y,9,train,Y\y9.txt,2856,3,False
static3d_y_10,Y,10,train,Y\y10.txt,2690,3,False
static3d_y_11,Y,11,train,Y\y11.txt,2559,3,False
static3d_y_12,Y,12,validation,Y\y12.txt,2087,3,False
static3d_y_13,Y,13,validation,Y\y13.txt,4299,3,False
static3d_y_14,Y,14,test,Y\y14.txt,2692,3,False
static3d_y_15,Y,15,test,Y\y15.txt,2665,3,False
