sample_id,source_dataset,participant_id,label_lsm,label_group,label_status,split_external,video_internal_path,source_filename_stem,feature_status,feature_path,feature_error
mendeley_labeled611_P06_46ecd57a2f04031c,67htnzmwbb.1,P06,b,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_1_5_Derecha/Ciclo_1_5_Derecha_b.mp4,Ciclo_1_5_Derecha_b,pending,,
mendeley_labeled611_P06_99af9aa85be24e7a,67htnzmwbb.1,P06,b,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_1_5_Izquierda/Ciclo_1_5_Izquierda_b.mp4,Ciclo_1_5_Izquierda_b,pending,,
mendeley_labeled611_P06_8a9ec36fca6545de,67htnzmwbb.1,P06,b,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_2_5_Derecha/Ciclo_2_5_Derecha_b.mp4,Ciclo_2_5_Derecha_b,pending,,
mendeley_labeled611_P06_53bc264c86e880f7,67htnzmwbb.1,P06,b,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_2_5_Izquierda/Ciclo_2_5_Izquierda_b.mp4,Ciclo_2_5_Izquierda_b,pending,,
mendeley_labeled611_P06_4437f3ad75c881e6,67htnzmwbb.1,P06,b,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_3_5_Derecha/Ciclo_3_5_Derecha_b.mp4,Ciclo_3_5_Derecha_b,pending,,
mendeley_labeled611_P06_389f2415bf795a6c,67htnzmwbb.1,P06,b,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_3_5_Izquierda/Ciclo_3_5_Izquierda_b.mp4,Ciclo_3_5_Izquierda_b,pending,,
mendeley_labeled611_P06_01267ba67a9e0290,67htnzmwbb.1,P06,b,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_4_5_Derecha/Ciclo_4_5_Derecha_b.mp4,Ciclo_4_5_Derecha_b,pending,,
mendeley_labeled611_P06_3124642b28e3488d,67htnzmwbb.1,P06,b,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_4_5_Izquierda/Ciclo_4_5_Izquierda_b.mp4,Ciclo_4_5_Izquierda_b,pending,,
mendeley_labeled611_P06_75f348d0736d41c1,67htnzmwbb.1,P06,b,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_5_5_Derecha/Ciclo_5_5_Derecha_b.mp4,Ciclo_5_5_Derecha_b,pending,,
mendeley_labeled611_P06_8e52ea754beef7b6,67htnzmwbb.1,P06,b,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_5_5_Izquierda/Ciclo_5_5_Izquierda_b.mp4,Ciclo_5_5_Izquierda_b,pending,,
mendeley_labeled611_P06_795e781415e8204a,67htnzmwbb.1,P06,c,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_1_5_Derecha/Ciclo_1_5_Derecha_c.mp4,Ciclo_1_5_Derecha_c,pending,,
mendeley_labeled611_P06_5508f80b53a73f58,67htnzmwbb.1,P06,c,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_1_5_Izquierda/Ciclo_1_5_Izquierda_c.mp4,Ciclo_1_5_Izquierda_c,pending,,
mendeley_labeled611_P06_97ecd1153eed55b2,67htnzmwbb.1,P06,c,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_2_5_Derecha/Ciclo_2_5_Derecha_c.mp4,Ciclo_2_5_Derecha_c,pending,,
mendeley_labeled611_P06_8e5d7708b272362c,67htnzmwbb.1,P06,c,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_2_5_Izquierda/Ciclo_2_5_Izquierda_c.mp4,Ciclo_2_5_Izquierda_c,pending,,
mendeley_labeled611_P06_ffe0445f57343a03,67htnzmwbb.1,P06,c,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_3_5_Derecha/Ciclo_3_5_Derecha_c.mp4,Ciclo_3_5_Derecha_c,pending,,
mendeley_labeled611_P06_43142bccb9049436,67htnzmwbb.1,P06,c,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_3_5_Izquierda/Ciclo_3_5_Izquierda_c.mp4,Ciclo_3_5_Izquierda_c,pending,,
mendeley_labeled611_P06_bab3d5cfa699f530,67htnzmwbb.1,P06,c,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_4_5_Derecha/Ciclo_4_5_Derecha_c.mp4,Ciclo_4_5_Derecha_c,pending,,
mendeley_labeled611_P06_ec34bc83c0a26c9b,67htnzmwbb.1,P06,c,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_4_5_Izquierda/Ciclo_4_5_Izquierda_c.mp4,Ciclo_4_5_Izquierda_c,pending,,
mendeley_labeled611_P06_23e3c8c6ea993d2c,67htnzmwbb.1,P06,c,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_5_5_Derecha/Ciclo_5_5_Derecha_c.mp4,Ciclo_5_5_Derecha_c,pending,,
mendeley_labeled611_P06_69368624d2c19fb9,67htnzmwbb.1,P06,c,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_5_5_Izquierda/Ciclo_5_5_Izquierda_c.mp4,Ciclo_5_5_Izquierda_c,pending,,
mendeley_labeled611_P06_4cd85d6e1a2c7616,67htnzmwbb.1,P06,d,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_1_5_Derecha/Ciclo_1_5_Derecha_d.mp4,Ciclo_1_5_Derecha_d,pending,,
mendeley_labeled611_P06_7724e81313e4781a,67htnzmwbb.1,P06,d,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_1_5_Izquierda/Ciclo_1_5_Izquierda_d.mp4,Ciclo_1_5_Izquierda_d,pending,,
mendeley_labeled611_P06_4bcb76df96e7ce40,67htnzmwbb.1,P06,d,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_2_5_Derecha/Ciclo_2_5_Derecha_d.mp4,Ciclo_2_5_Derecha_d,pending,,
mendeley_labeled611_P06_8cf903246a6a4401,67htnzmwbb.1,P06,d,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_2_5_Izquierda/Ciclo_2_5_Izquierda_d.mp4,Ciclo_2_5_Izquierda_d,pending,,
mendeley_labeled611_P06_794edaccc74e985f,67htnzmwbb.1,P06,d,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_3_5_Derecha/Ciclo_3_5_Derecha_d.mp4,Ciclo_3_5_Derecha_d,pending,,
mendeley_labeled611_P06_0d32d612a2e8cd64,67htnzmwbb.1,P06,d,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_3_5_Izquierda/Ciclo_3_5_Izquierda_d.mp4,Ciclo_3_5_Izquierda_d,pending,,
mendeley_labeled611_P06_08bfbe31e19e4264,67htnzmwbb.1,P06,d,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_4_5_Derecha/Ciclo_4_5_Derecha_d.mp4,Ciclo_4_5_Derecha_d,pending,,
mendeley_labeled611_P06_0074e605ba5947c9,67htnzmwbb.1,P06,d,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_4_5_Izquierda/Ciclo_4_5_Izquierda_d.mp4,Ciclo_4_5_Izquierda_d,pending,,
mendeley_labeled611_P06_bafa2ce035dfb6f7,67htnzmwbb.1,P06,d,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_5_5_Derecha/Ciclo_5_5_Derecha_d.mp4,Ciclo_5_5_Derecha_d,pending,,
mendeley_labeled611_P06_ebf2db476ee0df31,67htnzmwbb.1,P06,d,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_5_5_Izquierda/Ciclo_5_5_Izquierda_d.mp4,Ciclo_5_5_Izquierda_d,pending,,
mendeley_labeled611_P06_4e3146c2e8bee17d,67htnzmwbb.1,P06,e,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_1_5_Derecha/Ciclo_1_5_Derecha_e.mp4,Ciclo_1_5_Derecha_e,pending,,
mendeley_labeled611_P06_0ea6f93a61e0fc98,67htnzmwbb.1,P06,e,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_1_5_Izquierda/Ciclo_1_5_Izquierda_e.mp4,Ciclo_1_5_Izquierda_e,pending,,
mendeley_labeled611_P06_2635523d62491f1d,67htnzmwbb.1,P06,e,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_2_5_Derecha/Ciclo_2_5_Derecha_e.mp4,Ciclo_2_5_Derecha_e,pending,,
mendeley_labeled611_P06_9cc1e7ae6ae1fe95,67htnzmwbb.1,P06,e,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_2_5_Izquierda/Ciclo_2_5_Izquierda_e.mp4,Ciclo_2_5_Izquierda_e,pending,,
mendeley_labeled611_P06_e091910b3a2f9266,67htnzmwbb.1,P06,e,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_3_5_Derecha/Ciclo_3_5_Derecha_e.mp4,Ciclo_3_5_Derecha_e,pending,,
mendeley_labeled611_P06_5ad0232ab1011575,67htnzmwbb.1,P06,e,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_3_5_Izquierda/Ciclo_3_5_Izquierda_e.mp4,Ciclo_3_5_Izquierda_e,pending,,
mendeley_labeled611_P06_8f3db333cd2d2499,67htnzmwbb.1,P06,e,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_4_5_Derecha/Ciclo_4_5_Derecha_e.mp4,Ciclo_4_5_Derecha_e,pending,,
mendeley_labeled611_P06_6f37aa9ad82a80e6,67htnzmwbb.1,P06,e,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_4_5_Izquierda/Ciclo_4_5_Izquierda_e.mp4,Ciclo_4_5_Izquierda_e,pending,,
mendeley_labeled611_P06_f81f37bd1ae2ef35,67htnzmwbb.1,P06,e,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_5_5_Derecha/Ciclo_5_5_Derecha_e.mp4,Ciclo_5_5_Derecha_e,pending,,
mendeley_labeled611_P06_5d6579bbe00f2dec,67htnzmwbb.1,P06,e,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_5_5_Izquierda/Ciclo_5_5_Izquierda_e.mp4,Ciclo_5_5_Izquierda_e,pending,,
mendeley_labeled611_P06_4a6f2dc35d6a9076,67htnzmwbb.1,P06,f,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_1_5_Derecha/Ciclo_1_5_Derecha_f.mp4,Ciclo_1_5_Derecha_f,pending,,
mendeley_labeled611_P06_fe270d7298e52042,67htnzmwbb.1,P06,f,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_1_5_Izquierda/Ciclo_1_5_Izquierda_f.mp4,Ciclo_1_5_Izquierda_f,pending,,
mendeley_labeled611_P06_05cd202e6afe86d8,67htnzmwbb.1,P06,f,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_2_5_Derecha/Ciclo_2_5_Derecha_f.mp4,Ciclo_2_5_Derecha_f,pending,,
mendeley_labeled611_P06_4a6cb8e9b7e9fe09,67htnzmwbb.1,P06,f,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_2_5_Izquierda/Ciclo_2_5_Izquierda_f.mp4,Ciclo_2_5_Izquierda_f,pending,,
mendeley_labeled611_P06_a16a40e08b2ceee5,67htnzmwbb.1,P06,f,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_3_5_Derecha/Ciclo_3_5_Derecha_f.mp4,Ciclo_3_5_Derecha_f,pending,,
mendeley_labeled611_P06_1a6b9b5aeb8d7949,67htnzmwbb.1,P06,f,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_3_5_Izquierda/Ciclo_3_5_Izquierda_f.mp4,Ciclo_3_5_Izquierda_f,pending,,
mendeley_labeled611_P06_a0125e076beafe27,67htnzmwbb.1,P06,f,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_4_5_Derecha/Ciclo_4_5_Derecha_f.mp4,Ciclo_4_5_Derecha_f,pending,,
mendeley_labeled611_P06_3de64e7645057ed7,67htnzmwbb.1,P06,f,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_4_5_Izquierda/Ciclo_4_5_Izquierda_f.mp4,Ciclo_4_5_Izquierda_f,pending,,
mendeley_labeled611_P06_6997366faa8b18fa,67htnzmwbb.1,P06,f,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_5_5_Derecha/Ciclo_5_5_Derecha_f.mp4,Ciclo_5_5_Derecha_f,pending,,
mendeley_labeled611_P06_19bbfa0c1a3444a7,67htnzmwbb.1,P06,f,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_5_5_Izquierda/Ciclo_5_5_Izquierda_f.mp4,Ciclo_5_5_Izquierda_f,pending,,
mendeley_labeled611_P06_adb94ec91186fa43,67htnzmwbb.1,P06,g,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_1_5_Derecha/Ciclo_1_5_Derecha_g.mp4,Ciclo_1_5_Derecha_g,pending,,
mendeley_labeled611_P06_eef25689551764c3,67htnzmwbb.1,P06,g,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_1_5_Izquierda/Ciclo_1_5_Izquierda_g.mp4,Ciclo_1_5_Izquierda_g,pending,,
mendeley_labeled611_P06_169c5a2cc2884322,67htnzmwbb.1,P06,g,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_2_5_Derecha/Ciclo_2_5_Derecha_g.mp4,Ciclo_2_5_Derecha_g,pending,,
mendeley_labeled611_P06_6cf4225fe93d3727,67htnzmwbb.1,P06,g,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_2_5_Izquierda/Ciclo_2_5_Izquierda_g.mp4,Ciclo_2_5_Izquierda_g,pending,,
mendeley_labeled611_P06_95fd7dbb056cfecc,67htnzmwbb.1,P06,g,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_3_5_Derecha/Ciclo_3_5_Derecha_g.mp4,Ciclo_3_5_Derecha_g,pending,,
mendeley_labeled611_P06_f0f046b5c8bff9b6,67htnzmwbb.1,P06,g,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_3_5_Izquierda/Ciclo_3_5_Izquierda_g.mp4,Ciclo_3_5_Izquierda_g,pending,,
mendeley_labeled611_P06_e7bd311e9b67da6d,67htnzmwbb.1,P06,g,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_4_5_Derecha/Ciclo_4_5_Derecha_g.mp4,Ciclo_4_5_Derecha_g,pending,,
mendeley_labeled611_P06_1c4f52cf93ab5044,67htnzmwbb.1,P06,g,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_4_5_Izquierda/Ciclo_4_5_Izquierda_g.mp4,Ciclo_4_5_Izquierda_g,pending,,
mendeley_labeled611_P06_504435f03c2b72b6,67htnzmwbb.1,P06,g,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_5_5_Derecha/Ciclo_5_5_Derecha_g.mp4,Ciclo_5_5_Derecha_g,pending,,
mendeley_labeled611_P06_e89ec503cc8c2a1f,67htnzmwbb.1,P06,g,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_5_5_Izquierda/Ciclo_5_5_Izquierda_g.mp4,Ciclo_5_5_Izquierda_g,pending,,
mendeley_labeled611_P06_2e68972bd431de87,67htnzmwbb.1,P06,h,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_1_5_Derecha/Ciclo_1_5_Derecha_h.mp4,Ciclo_1_5_Derecha_h,pending,,
mendeley_labeled611_P06_246f49acd6d6b5d9,67htnzmwbb.1,P06,h,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_1_5_Izquierda/Ciclo_1_5_Izquierda_h.mp4,Ciclo_1_5_Izquierda_h,pending,,
mendeley_labeled611_P06_afeafd9e8abbb50a,67htnzmwbb.1,P06,h,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_2_5_Derecha/Ciclo_2_5_Derecha_h.mp4,Ciclo_2_5_Derecha_h,pending,,
mendeley_labeled611_P06_c4e9cc7a70fd80d2,67htnzmwbb.1,P06,h,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_2_5_Izquierda/Ciclo_2_5_Izquierda_h.mp4,Ciclo_2_5_Izquierda_h,pending,,
mendeley_labeled611_P06_641c02e62a8957ed,67htnzmwbb.1,P06,h,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_3_5_Derecha/Ciclo_3_5_Derecha_h.mp4,Ciclo_3_5_Derecha_h,pending,,
mendeley_labeled611_P06_657f7b51c70452dd,67htnzmwbb.1,P06,h,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_3_5_Izquierda/Ciclo_3_5_Izquierda_h.mp4,Ciclo_3_5_Izquierda_h,pending,,
mendeley_labeled611_P06_66ad4f3e1c2efbab,67htnzmwbb.1,P06,h,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_4_5_Derecha/Ciclo_4_5_Derecha_h.mp4,Ciclo_4_5_Derecha_h,pending,,
mendeley_labeled611_P06_547b0c66d94ea389,67htnzmwbb.1,P06,h,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_4_5_Izquierda/Ciclo_4_5_Izquierda_h.mp4,Ciclo_4_5_Izquierda_h,pending,,
mendeley_labeled611_P06_95533376d05574b5,67htnzmwbb.1,P06,h,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_5_5_Derecha/Ciclo_5_5_Derecha_h.mp4,Ciclo_5_5_Derecha_h,pending,,
mendeley_labeled611_P06_52e2958623014486,67htnzmwbb.1,P06,h,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_5_5_Izquierda/Ciclo_5_5_Izquierda_h.mp4,Ciclo_5_5_Izquierda_h,pending,,
mendeley_labeled611_P06_1dad3c207466b38d,67htnzmwbb.1,P06,i,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_1_5_Derecha/Ciclo_1_5_Derecha_i.mp4,Ciclo_1_5_Derecha_i,pending,,
mendeley_labeled611_P06_c2c1a644c8ccb8ad,67htnzmwbb.1,P06,i,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_1_5_Izquierda/Ciclo_1_5_Izquierda_i.mp4,Ciclo_1_5_Izquierda_i,pending,,
mendeley_labeled611_P06_8ceb4dd19208748b,67htnzmwbb.1,P06,i,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_2_5_Derecha/Ciclo_2_5_Derecha_i.mp4,Ciclo_2_5_Derecha_i,pending,,
mendeley_labeled611_P06_98c1aa357a533ea6,67htnzmwbb.1,P06,i,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_2_5_Izquierda/Ciclo_2_5_Izquierda_i.mp4,Ciclo_2_5_Izquierda_i,pending,,
mendeley_labeled611_P06_72518df4bbaca1f3,67htnzmwbb.1,P06,i,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_3_5_Derecha/Ciclo_3_5_Derecha_i.mp4,Ciclo_3_5_Derecha_i,pending,,
mendeley_labeled611_P06_45a3776cc401b66c,67htnzmwbb.1,P06,i,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_3_5_Izquierda/Ciclo_3_5_Izquierda_i.mp4,Ciclo_3_5_Izquierda_i,pending,,
mendeley_labeled611_P06_ee54d2d33ba0d378,67htnzmwbb.1,P06,i,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #6 to #11/persona_6/Ciclo_4_5_Derecha/Ciclo_4_5_Derecha_i.mp4,Ciclo_4_5_Derecha_i,pending,,
